DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230308440,03/28/2023 12:00:00 AM,06/18/2022 12:00:00 AM,1130,3,Southwest,319,1,110,CRIMINAL HOMICIDE,0416 0429 1822 1202,71,M,W,518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,1900    ESTRELLA                     AV,,34.035,-118.2759
221809784,04/26/2022 12:00:00 AM,04/26/2022 12:00:00 AM,1430,18,Southeast,1841,1,110,CRIMINAL HOMICIDE,1822 1202 1100 1402 1407 0302 0430 1310 1309 0906,76,M,B,108.0,PARKING LOT,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,600 W  IMPERIAL                     HY,,33.9367,-118.2871
221820435,11/10/2022 12:00:00 AM,11/10/2022 12:00:00 AM,50,18,Southeast,1832,1,110,CRIMINAL HOMICIDE,0416 0411 1402 0913,33,M,B,108.0,PARKING LOT,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,,,,10400 S  BROADWAY,,33.9419,-118.2781
221804806,01/18/2022 12:00:00 AM,01/18/2022 12:00:00 AM,1140,18,Southeast,1881,1,110,CRIMINAL HOMICIDE,1407 1416 1100 1402 0906 0430 1822 1300 1309 1419,21,F,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110.0,,,,AINSWORTH                    ST,REDONDO BEACH                BL,33.8925,-118.2906
221315029,07/27/2022 12:00:00 AM,07/27/2022 12:00:00 AM,150,13,Newton,1345,1,110,CRIMINAL HOMICIDE,0906 1402 1100 1822 1270 1407 0430 1419,43,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,41ST                         ST,COMPTON                      AV,34.0091,-118.2506
221512017,07/08/2022 12:00:00 AM,07/08/2022 12:00:00 AM,1418,15,N Hollywood,1516,1,110,CRIMINAL HOMICIDE,1100 0906 1402 0430 2000 1813 1218,29,F,B,509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,CAMELLIA                     AV,VANOWEN                      ST,34.1939,-118.3823
221816116,08/21/2022 12:00:00 AM,08/21/2022 12:00:00 AM,2111,18,Southeast,1802,1,110,CRIMINAL HOMICIDE,0216 1822 1309 1100 0430 0906 1402,28,M,B,401.0,MINI-MART,107.0,OTHER FIREARM,AA,Adult Arrest,110.0,,,,8600 S  BROADWAY,,33.9601,-118.2783
221212388,05/24/2022 12:00:00 AM,05/24/2022 12:00:00 AM,1827,12,77th Street,1269,1,110,CRIMINAL HOMICIDE,0430 1100 1822 1407,42,M,H,103.0,ALLEY,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,600 E  80TH                         ST,,33.9665,-118.2652
222011349,06/20/2022 12:00:00 AM,06/20/2022 12:00:00 AM,430,20,Olympic,2069,1,110,CRIMINAL HOMICIDE,2004 1822 1218 0416,67,M,O,124.0,BUS STOP,302.0,BLUNT INSTRUMENT,AA,Adult Arrest,110.0,,,,2600 W  OLYMPIC                      BL,,34.0524,-118.2877
220617115,10/05/2022 12:00:00 AM,10/05/2022 12:00:00 AM,2250,6,Hollywood,637,1,110,CRIMINAL HOMICIDE,1402 1300 1822 0906 1218 1100 0430,59,M,W,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,5900    CARLOS                       AV,,34.1028,-118.318
222115967,10/28/2022 12:00:00 AM,10/28/2022 12:00:00 AM,1220,21,Topanga,2142,1,110,CRIMINAL HOMICIDE,1822 1218 0445,57,F,W,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,,,,23600    VICTORY                      BL,,34.1866,-118.6418
220407002,03/29/2022 12:00:00 AM,03/29/2022 12:00:00 AM,2225,4,Hollenbeck,429,1,110,CRIMINAL HOMICIDE,2000 1100 0430 0913 1407 0906,25,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,5300    HYDE                         ST,,34.082,-118.1671
221200577,02/22/2022 12:00:00 AM,02/22/2022 12:00:00 AM,315,12,77th Street,1239,1,110,CRIMINAL HOMICIDE,1100 1402 0430 1822,48,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,MENLO                        AV,SLAUSON                      AV,33.9891,-118.2893
221104841,01/23/2022 12:00:00 AM,01/23/2022 12:00:00 AM,2257,11,Northeast,1158,1,110,CRIMINAL HOMICIDE,1419 1416 1407 1402 1100 0430 0906,26,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,300 W  AVENUE 38,,34.0907,-118.2121
221809259,04/15/2022 12:00:00 AM,04/15/2022 12:00:00 AM,1640,18,Southeast,1826,1,110,CRIMINAL HOMICIDE,0906 1822 1100 1402 1407 0430 1309,42,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,JA,Juv Arrest,110.0,998.0,,,1300 E  92ND                         ST,,33.9533,-118.2482
221208356,03/20/2022 12:00:00 AM,03/20/2022 12:00:00 AM,145,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,1822 1402 1409 1100 1310 0302 2047 0430,54,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,8000 S  FLOWER                       ST,,33.9669,-118.2813
221314250,07/09/2022 12:00:00 AM,07/09/2022 12:00:00 AM,1520,13,Newton,1313,1,110,CRIMINAL HOMICIDE,1100 0430 0906 1270 1218 1402 0913 2004,45,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,15TH                         ST,GRIFFITH                     AV,34.0286,-118.2512
220407066,04/01/2022 12:00:00 AM,03/31/2022 12:00:00 AM,1630,4,Hollenbeck,467,1,110,CRIMINAL HOMICIDE,1402 1100 0430 0906 1270 1822 1310,34,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,JA,Juv Arrest,110.0,998.0,,,2900 E  2ND                          ST,,34.0393,-118.2044
221712289,08/15/2022 12:00:00 AM,08/14/2022 12:00:00 AM,2353,17,Devonshire,1795,1,110,CRIMINAL HOMICIDE,1100 0906 0913 0602 0360 1402 0430,33,M,H,103.0,ALLEY,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,17900    SCHOENBORN                   ST,,34.2219,-118.523
220311801,06/05/2022 12:00:00 AM,06/05/2022 12:00:00 AM,1755,3,Southwest,314,1,110,CRIMINAL HOMICIDE,1100 1402 1407 0430 0334 1813 2000 0913 1419,33,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",111.0,STARTER PISTOL/REVOLVER,AA,Adult Arrest,110.0,,,,3700 W  27TH                         ST,,34.0312,-118.3239
222112639,08/07/2022 12:00:00 AM,08/07/2022 12:00:00 AM,526,21,Topanga,2146,1,110,CRIMINAL HOMICIDE,0913 0906 2000,40,F,H,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,,,,6900    CANOGA                       AV,,34.1956,-118.5975
220114088,06/11/2022 12:00:00 AM,06/08/2022 12:00:00 AM,1425,1,Central,144,1,110,CRIMINAL HOMICIDE,0913 1276 1100 0430 2000 1813,28,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AO,Adult Other,110.0,,,,400 S  MAIN                         ST,,34.0478,-118.2484
221012187,07/30/2022 12:00:00 AM,07/29/2022 12:00:00 AM,50,10,West Valley,1004,1,110,CRIMINAL HOMICIDE,1100 0334 0302 1402 0430 1822,31,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,18300    SATICOY                      ST,,34.2146,-118.5317
220119528,08/31/2022 12:00:00 AM,08/30/2022 12:00:00 AM,2125,1,Central,118,1,110,CRIMINAL HOMICIDE,1100 1402 0430 1822 1309 0906 0907,34,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,BOLERO,BLOOM,34.0624,-118.2283
221223298,11/11/2022 12:00:00 AM,11/11/2022 12:00:00 AM,120,12,77th Street,1243,1,110,CRIMINAL HOMICIDE,0430 1100 1822 1218 1407 1300 0309 0907,41,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,1600 W  69TH                         ST,,33.977,-118.3046
221819362,10/20/2022 12:00:00 AM,07/02/2022 12:00:00 AM,303,18,Southeast,1844,1,110,CRIMINAL HOMICIDE,0913 0906 1100 0430 1300,20,M,B,101.0,STREET,102.0,HAND GUN,JA,Juv Arrest,110.0,,,,400 E  109TH                        ST,,33.9374,-118.2673
221214780,06/28/2022 12:00:00 AM,06/27/2022 12:00:00 AM,2330,12,77th Street,1241,1,110,CRIMINAL HOMICIDE,1100 1402 2000 1813 1243 0913 0305 0430 1816 0906,50,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AO,Adult Other,110.0,,,,6300    10TH                         AV,,33.9829,-118.3279
221209592,04/08/2022 12:00:00 AM,04/08/2022 12:00:00 AM,1342,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,0906 1822 1100 1300 0430,29,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,700 W  79TH                         ST,,33.9678,-118.2858
221212744,05/29/2022 12:00:00 AM,05/29/2022 12:00:00 AM,2240,12,77th Street,1266,1,110,CRIMINAL HOMICIDE,1402 1407 1100 0430 0334 1822 0906,39,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,8200 S  BROADWAY,,33.9661,-118.2849
221911553,07/05/2022 12:00:00 AM,07/05/2022 12:00:00 AM,119,19,Mission,1902,1,110,CRIMINAL HOMICIDE,1100 2058 1218 0906 1270 1402 1510 0430 1822 0903,48,M,W,108.0,PARKING LOT,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,POLK                         ST,FOOTHILL                     BL,34.3129,-118.4438
222118311,12/30/2022 12:00:00 AM,12/30/2022 12:00:00 AM,1751,21,Topanga,2136,1,110,CRIMINAL HOMICIDE,0438 0411 1822,31,M,H,501.0,SINGLE FAMILY DWELLING,218.0,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,110.0,,,,7400    ALABAMA                      AV,,34.2047,-118.599
221304526,01/12/2022 12:00:00 AM,01/12/2022 12:00:00 AM,1940,13,Newton,1351,1,110,CRIMINAL HOMICIDE,1402 1100 0430 0906 1822,19,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,200 W  42ND                         PL,,34.0065,-118.2764
221204103,01/03/2022 12:00:00 AM,01/03/2022 12:00:00 AM,1735,12,77th Street,1257,1,110,CRIMINAL HOMICIDE,0906 0309 1822 1100 1402 1407 0430 1309 1310,17,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,800 W  77TH                         ST,,33.9698,-118.2871
221817053,09/07/2022 12:00:00 AM,09/07/2022 12:00:00 AM,2105,18,Southeast,1822,1,110,CRIMINAL HOMICIDE,1100 0430 0913 0906,56,M,B,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AO,Adult Other,110.0,,,,9600 S  MAIN                         ST,,33.9492,-118.2739
220614987,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,1415,6,Hollywood,666,1,110,CRIMINAL HOMICIDE,1407 1402 1822 1100 0430 0906 1419 1410,23,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,6500    DE LONGPRE                   AV,,34.0961,-118.3303
221112894,08/19/2022 12:00:00 AM,08/19/2022 12:00:00 AM,1850,11,Northeast,1173,1,110,CRIMINAL HOMICIDE,0906 1402 1407 1100 0430 0202,32,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1900    ECHO PARK                    AV,,34.0916,-118.2539
221218889,09/03/2022 12:00:00 AM,09/03/2022 12:00:00 AM,17,12,77th Street,1257,1,110,CRIMINAL HOMICIDE,0411 0913 1402,59,M,B,518.0,TRANSITIONAL HOUSING/HALFWAY HOUSE,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,,,,300 W  77TH                         ST,,33.9699,-118.2783
220218793,10/18/2022 12:00:00 AM,10/18/2022 12:00:00 AM,2230,2,Rampart,285,1,110,CRIMINAL HOMICIDE,1402 1202 0411 0561 0913 0602 2003,75,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,998.0,,,1600 W  11TH                         PL,,34.047,-118.2756
221204469,01/09/2022 12:00:00 AM,01/09/2022 12:00:00 AM,1400,12,77th Street,1267,1,110,CRIMINAL HOMICIDE,1822 0906 1100 0430 1300 1407 1402 1218,36,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,110.0,,,,MANCHESTER                   AV,FIGUEROA                     ST,33.9601,-118.2827
232107326,03/10/2022 12:00:00 AM,03/10/2022 12:00:00 AM,1729,21,Topanga,2189,1,110,CRIMINAL HOMICIDE,0408 0400 1822,42,M,W,503.0,HOTEL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110.0,,,,20200    VENTURA                      BL,,34.1702,-118.5729
221207837,03/10/2022 12:00:00 AM,03/10/2022 12:00:00 AM,1921,12,77th Street,1239,1,110,CRIMINAL HOMICIDE,1100 0430 0334 1309 0216 1822,44,M,H,108.0,PARKING LOT,106.0,UNKNOWN FIREARM,JA,Juv Arrest,110.0,,,,5800 S  VERMONT                      AV,,33.9856,-118.2915
220313177,07/03/2022 12:00:00 AM,07/03/2022 12:00:00 AM,200,3,Southwest,332,1,110,CRIMINAL HOMICIDE,1100 0430 0302 0913 0906 1270 0602 0360 1419 1407,32,M,B,501.0,SINGLE FAMILY DWELLING,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,4300    EXPOSITION                   BL,,34.024,-118.3445
221706463,03/11/2022 12:00:00 AM,03/11/2022 12:00:00 AM,30,17,Devonshire,1785,1,110,CRIMINAL HOMICIDE,1100 0430 1822 1402 0906 1270,31,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,18400    DEARBORN                     ST,,34.2373,-118.5338
221006270,03/02/2022 12:00:00 AM,03/02/2022 12:00:00 AM,1715,10,West Valley,1089,1,110,CRIMINAL HOMICIDE,1822 0430 1100 0342,80,M,W,501.0,SINGLE FAMILY DWELLING,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,4500    DENSMORE                     AV,,34.1525,-118.4775
221305576,02/02/2022 12:00:00 AM,02/02/2022 12:00:00 AM,1410,13,Newton,1331,1,110,CRIMINAL HOMICIDE,1402 1407 0906 1100 0430 1822 2004,16,M,H,103.0,ALLEY,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,200 E  28TH                         ST,,34.0228,-118.2686
220206141,02/20/2022 12:00:00 AM,02/20/2022 12:00:00 AM,1255,2,Rampart,246,1,110,CRIMINAL HOMICIDE,1822 0430 1309 0906 1100,68,M,H,102.0,SIDEWALK,102.0,HAND GUN,AO,Adult Other,110.0,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
220119914,09/06/2022 12:00:00 AM,09/06/2022 12:00:00 AM,445,1,Central,171,1,110,CRIMINAL HOMICIDE,1822 1100 0430 1402,20,M,B,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,900 W  OLYMPIC                      BL,,34.0454,-118.2658
220222311,12/13/2022 12:00:00 AM,12/13/2022 12:00:00 AM,30,2,Rampart,261,1,110,CRIMINAL HOMICIDE,0416 1218,54,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110.0,,,,2200 W  7TH                          ST,,34.057,-118.2779
220706685,03/11/2022 12:00:00 AM,03/11/2022 12:00:00 AM,300,7,Wilshire,784,1,110,CRIMINAL HOMICIDE,1416 1300 1822 1218 0605 0411 1402,30,M,B,102.0,SIDEWALK,206.0,SWITCH BLADE,AA,Adult Arrest,110.0,998.0,,,WASHINGTON                   BL,LONGWOOD                     AV,34.04,-118.3454
221223512,11/14/2022 12:00:00 AM,11/14/2022 12:00:00 AM,2300,12,77th Street,1267,1,110,CRIMINAL HOMICIDE,1100 0430 0906,37,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,900 W  85TH                         ST,,33.9612,-118.2895
221316215,08/18/2022 12:00:00 AM,08/18/2022 12:00:00 AM,840,13,Newton,1375,1,110,CRIMINAL HOMICIDE,1402 0430 1100 0913,35,M,B,103.0,ALLEY,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1400 E  58TH                         ST,,33.9902,-118.2483
220208503,04/08/2022 12:00:00 AM,04/08/2022 12:00:00 AM,1440,2,Rampart,256,1,110,CRIMINAL HOMICIDE,0906 0411 1402 1822,34,M,H,102.0,SIDEWALK,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110.0,998.0,,,600 S  BONNIE BRAE                  ST,,34.0585,-118.2725
220511134,07/09/2022 12:00:00 AM,07/09/2022 12:00:00 AM,1408,5,Harbor,528,1,110,CRIMINAL HOMICIDE,1100 1402 1309 0430 0216 0906 1822,20,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,1300 E  L                            ST,,33.7875,-118.2479
221007675,04/08/2022 12:00:00 AM,04/08/2022 12:00:00 AM,30,10,West Valley,1049,1,110,CRIMINAL HOMICIDE,0430 1100 1218,39,M,H,109.0,PARK/PLAYGROUND,102.0,HAND GUN,IC,Invest Cont,110.0,,,,6300    WOODLEY                      AV,,34.1822,-118.4836
220313173,08/18/2022 12:00:00 AM,08/03/2022 12:00:00 AM,1200,3,Southwest,391,1,110,CRIMINAL HOMICIDE,0334 0361 0430 0906 1100 1270 1407 1419 0913 0603,55,M,B,108.0,PARKING LOT,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,4200    SANTO TOMAS                  DR,,34.0103,-118.3456
221322956,12/28/2022 12:00:00 AM,12/28/2022 12:00:00 AM,1235,13,Newton,1321,1,110,CRIMINAL HOMICIDE,1407 0430 1100 1822 2004,41,M,O,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,300 W  ADAMS                        BL,,34.0289,-118.2686
221808211,03/18/2022 12:00:00 AM,03/18/2022 12:00:00 AM,630,18,Southeast,1842,1,110,CRIMINAL HOMICIDE,1402 1407 1100 1202 1310 0302 0430 1309 0326 0906,64,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,IMPERIAL                     HY,BROADWAY,33.931,-118.2785
221805697,02/07/2022 12:00:00 AM,02/07/2022 12:00:00 AM,1035,18,Southeast,1802,1,110,CRIMINAL HOMICIDE,0430 0913 1100 0906 1419 1407,52,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,BROADWAY,86TH                         ST,33.9593,-118.2783
231814625,08/04/2023 12:00:00 AM,11/14/2022 12:00:00 AM,816,18,Southeast,1844,1,110,CRIMINAL HOMICIDE,0906 1100 1822,57,M,B,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,400 E  IMPERIAL                     HY,,33.9345,-118.2623
220516849,12/09/2022 12:00:00 AM,12/09/2022 12:00:00 AM,1236,5,Harbor,522,1,110,CRIMINAL HOMICIDE,1822 1100 0906 1402 1407 0430,33,M,H,103.0,ALLEY,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110.0,998.0,,,900 W  I                            ST,,33.7808,-118.273
221310655,05/05/2022 12:00:00 AM,05/05/2022 12:00:00 AM,1205,13,Newton,1371,1,110,CRIMINAL HOMICIDE,0305 1402 1822 0411 0449 0344,70,M,A,108.0,PARKING LOT,207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,5300 S  MAIN                         ST,,33.9924,-118.2772
